"id","merchant","title","beforeGrade","afterGrade","note","source","lastChecked","serviceTimes"
"PD-2026-0006","Adelaide Botanic Garden","Free daily guided garden walk","B","A","Added exact walk window and cancellation conditions.","https://www.botanicgardens.sa.gov.au/whats-on/free-guided-walks-adelaide-botanic-garden-2","2026-09-14T09:35:26.109Z","Daily · 10:30am–12pm"
"PD-2026-0005","Adelaide Botanic Garden","Free entry every day","B","A","Added seasonal September opening windows; no hours inferred beyond September.","https://www.botanicgardens.sa.gov.au/visit/adelaide-botanic-garden/plan-your-visit","2026-09-14T09:35:26.164Z","September · weekdays 7:15am–5:30pm; weekends 9am–5:30pm"
"PD-2026-0049","Archie Brothers Cirque Electriq","Unlimited arcade play for $19 on Mondays","C","C","Monday price is supported; exact service times and game exclusions need venue confirmation.","https://www.rundlemall.com/stores-and-services/archie-brothers-cirque-electriq/","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0072","Art Gallery of South Australia","Monet to Matisse: Defying Tradition","B","A","Replaced vague TICKETED with adult timed admission price; exact general opening hours.","https://www.agsa.sa.gov.au/whats-on/exhibitions/monet-to-matisse-defying-tradition/","2026-09-14T09:35:24.957Z","Daily · 10am–5pm · until 8 Nov"
"PD-2026-0063","Art Gallery of South Australia","Monet to Matisse Friday Nights","A","A","Friday evening session and ticket conditions are explicit. Last entry 8pm.","https://www.agsa.sa.gov.au/whats-on/exhibitions/monet-to-matisse-defying-tradition/monet-to-matisse-friday-nights/","2026-09-14T09:35:25.363Z","Fridays · 5:30–8:30pm · last entry 8pm"
"PD-2026-0008","Art Gallery of South Australia","Free gallery entry and free exhibitions","B","A","Added general-entry hours, distinct from paid Friday exhibition.","https://www.agsa.sa.gov.au/visit/bookings-and-tickets/","2026-09-14T09:35:25.056Z","Daily · 10am–5pm"
"PD-2026-0057","Canopy","50% off drinks during daily happy hour","B","A","Restricted daily happy hour to Thursday–Sunday trading days.","https://www.canopybar.com.au/","2026-09-14T09:35:26.294Z","Thu–Sun · 4:30–6:30pm"
"PD-2026-0058","Cucina by Liquid","$15 pasta nights on Mondays & Wednesdays","D","D","Official homepage Monday pasta from 5pm conflicts with contact page Monday closure at 3pm.","https://www.cucinabyliquid.com.au/","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0062","Grand Junction Tavern","Buy 1 main, get 1 FREE every Monday","A","A","Explicit Monday 5–9pm and public-holiday exclusion.","https://grandjunctiontavern.com.au/events/buy-1-get-1-free/","2026-09-14T09:35:25.599Z","Mondays · 5–9pm"
"PD-2026-0054","Harry's Bar on Grenfell","$15 schnitzels every Tuesday","B","B","Tuesday price and drink condition clear; hours remain unconfirmed.","https://harrysongrenfell.com.au/","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0050","Hijinx Hotel","Unlimited Hijinx play for $19 on Mondays","C","C","Monday unlimited play price supported; exact service and exclusions unclear.","https://www.rundlemall.com/stores-and-services/hijinx-hotel/","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0055","Jimmy's Bar & Grill","$15 pizzas every Monday & Tuesday","B","B","Monday/Tuesday and drink condition clear; exact service hours unconfirmed.","https://jimmysbar.com.au/whats-on/","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0041","OPSM","25% off Transitions lenses","B","B","Discount and expiry supported; photo broken and full in-store conditions required.","https://www.rundlemall.com/stores-and-services/opsm-rundle-mall/","2026-09-10 08:55:26.62241+00","Not confirmed"
