"id","name","city","grade","address","activeOffers","hasPhoto","hasCoordinates","website","flags","closedStatus","suburbStatus"
"81760656-44e7-47b2-8c7a-9858fbeb0184","Adelaide Botanic Garden","adelaide","A","North Terrace, Adelaide SA","2","true","true","https://www.botanicgardens.sa.gov.au/visit/adelaide-botanic-garden/plan-your-visit","Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"c2829da8-462f-4654-bb25-f5623a7f2db7","Adelaide Central Market","adelaide","B","44–60 Gouger Street, Adelaide SA","0","false","true","https://adelaidecentralmarket.com.au/","No rights-cleared hero; No active offer","Not independently established; no deletion","Not independently re-geocoded"
"9c934b17-136e-4f60-aadb-bb348bf2d9a7","Adelaide Symphony Orchestra","adelaide","B","91 Hindley Street, Adelaide SA 5000","0","false","false","https://www.aso.com.au/","No rights-cleared hero; No active offer","Not independently established; no deletion","Not independently re-geocoded"
"95b543ee-6391-4cb6-9ab5-2ec73fbfd5a9","Adelaide Zoo","adelaide","C","Adelaide Zoo, Frome Road, Adelaide SA","0","false","true","https://www.adelaidezoo.com.au/","No rights-cleared hero; No active offer; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"e2e2b927-c5ab-4ec8-af16-8158e9cf695b","Anchovy Bandit","adelaide","C","","0","false","false","https://www.anchovybandit.com/","No rights-cleared hero; No active offer; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"63dcf1c0-97b8-4a75-85d5-2e1823bfd084","Archie Brothers Cirque Electriq","adelaide","B","Rundle Place Level 1, Adelaide SA 5000","1","false","true","https://www.rundlemall.com/stores-and-services/archie-brothers-cirque-electriq/","No rights-cleared hero","Not independently established; no deletion","Not independently re-geocoded"
"bd9931f7-253b-4ff7-a6d4-6284fbc2eb11","Art Gallery of South Australia","adelaide","A","North Terrace, Adelaide SA","1","false","true","https://www.agsa.sa.gov.au/","No rights-cleared hero; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"3a04976d-d815-4550-83ee-6eada835854b","Barnacle Bill","adelaide","B","60 Commercial Road, SA, 5108","0","false","true","https://barnaclebill.com.au/","No rights-cleared hero; No active offer","Not independently established; no deletion","Not independently re-geocoded"
"8b81e1a7-9adb-4b9d-b208-bd571e9472bf","Borsa Pasta Cucina","adelaide","B","1/25 Grenfell Street, Adelaide SA 5000","0","false","true","https://www.borsapastacucina.com/","No rights-cleared hero; No active offer","Not independently established; no deletion","Official address reviewed"
"2f9f2e1e-bc19-49a9-a563-ec285bfb8231","Bowden Brewing","adelaide","C","","0","false","false","https://bowdenbrewing.com/","No rights-cleared hero; No active offer; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"773d7159-0d44-4b7c-a0f8-b88e6da84541","Campbelltown City Council","adelaide","B","172 Montacute Road, Rostrevor SA","0","false","false","https://www.campbelltown.sa.gov.au/","No rights-cleared hero; No active offer; Website needs manual fetch review","Not independently established; no deletion","Not independently re-geocoded"
"5e82a251-a32a-4336-b962-e7785b7b033b","Canopy","adelaide","A","188 Hindley Street, Adelaide SA","1","false","true","https://www.canopybar.com.au/","No rights-cleared hero","Not independently established; no deletion","Not independently re-geocoded"
"92e8fe4d-5284-403d-9d29-6b401ba33914","City of Tea Tree Gully","adelaide","B","Golden Fields Reserve, Atlantis Drive, Golden Grove SA 5125","0","false","false","https://www.teatreegully.sa.gov.au/","No rights-cleared hero; No active offer; Website needs manual fetch review","Not independently established; no deletion","Not independently re-geocoded"
"7d102832-9f67-4e04-9511-cb623eeeaaa2","Clever Little Tailor","adelaide","C","","0","false","false","https://www.nearmint.com.au/clever-little-tailor","No rights-cleared hero; No active offer; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"5ba83a11-6c84-4107-ad37-b9859b88df3a","Cucina by Liquid","adelaide","B","1/181 Grange Road, Findon SA 5023","1","false","true","https://www.cucinabyliquid.com.au/","No rights-cleared hero","Not independently established; no deletion","Not independently re-geocoded"
"93b05ae5-9c5c-47bf-9e1b-8c3733cc9b07","Daughter in Law Adelaide","adelaide","C","","0","false","false","https://www.daughterinlaw.com.au/","No rights-cleared hero; No active offer; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"3f44e96c-0509-42b6-a562-245487339a96","Good Gilbert","adelaide","C","","0","false","false","https://goodgilbert.com/","No rights-cleared hero; No active offer; Address absent or area-only","Not independently established; no deletion","Not independently re-geocoded"
"36e2798d-6341-4d72-aab5-b504c7b7af26","Harry's Bar on Grenfell","adelaide","A","12 Grenfell Street, Adelaide SA 5000","1","false","true","https://harrysongrenfell.com.au/","No rights-cleared hero","Not independently established; no deletion","Not independently re-geocoded"
